"unit_id","yr","surveyed","detected","value","history"
402,2026,NA,1,NA,"mammal_precise"
581,2017,NA,1,NA,"mammal_precise"
604,2018,NA,1,NA,"mammal_precise"
628,2022,NA,1,NA,"mammal_precise"
1015,2021,NA,1,NA,"mammal_precise"
1134,2019,NA,1,NA,"mammal_precise"
1295,2011,NA,1,NA,"mammal_precise"
1295,2013,NA,1,NA,"mammal_precise"
1465,2017,NA,1,NA,"mammal_precise"
2057,2021,NA,1,NA,"mammal_precise"
2078,2015,NA,1,NA,"mammal_precise"
5031,2012,NA,1,NA,"mammal_precise"
5106,2019,NA,1,NA,"mammal_precise"
5192,2023,NA,1,NA,"mammal_precise"
5373,2011,NA,1,NA,"mammal_precise"
5385,2020,NA,1,NA,"mammal_precise"
5385,2024,NA,1,NA,"mammal_precise"
9709,2020,NA,1,NA,"mammal_precise"
13181,2012,NA,1,NA,"mammal_precise"
13181,2013,NA,1,NA,"mammal_precise"
13181,2014,NA,1,NA,"mammal_precise"
13181,2016,NA,1,NA,"mammal_precise"
13181,2026,NA,1,NA,"mammal_precise"
13326,2020,NA,1,NA,"mammal_precise"
13862,2014,NA,1,NA,"mammal_precise"
14720,2016,NA,1,NA,"mammal_precise"
15150,2025,NA,1,NA,"mammal_precise"
15523,2013,NA,1,NA,"mammal_precise"
15882,2019,NA,1,NA,"mammal_precise"
16031,2021,NA,1,NA,"mammal_precise"
16095,2017,NA,1,NA,"mammal_precise"
16111,2010,NA,1,NA,"mammal_precise"
16205,2013,NA,1,NA,"mammal_precise"
16651,2020,NA,1,NA,"mammal_precise"
16667,2017,NA,1,NA,"mammal_precise"
16817,2012,NA,1,NA,"mammal_precise"
16817,2018,NA,1,NA,"mammal_precise"
16924,2010,NA,1,NA,"mammal_precise"
17188,2024,NA,1,NA,"mammal_precise"
17188,2026,NA,1,NA,"mammal_precise"
17200,2018,NA,1,NA,"mammal_precise"
17271,2026,NA,1,NA,"mammal_precise"
17410,2015,NA,1,NA,"mammal_precise"
17418,2023,NA,1,NA,"mammal_precise"
17470,2011,NA,1,NA,"mammal_precise"
17495,2021,NA,1,NA,"mammal_precise"
17495,2026,NA,1,NA,"mammal_precise"
17506,2023,NA,1,NA,"mammal_precise"
17846,2020,NA,1,NA,"mammal_precise"
17846,2024,NA,1,NA,"mammal_precise"
17926,2021,NA,1,NA,"mammal_precise"
17946,2023,NA,1,NA,"mammal_precise"
18065,2010,NA,1,NA,"mammal_precise"
18081,2011,NA,1,NA,"mammal_precise"
18113,2023,NA,1,NA,"mammal_precise"
18778,2012,NA,1,NA,"mammal_precise"
20680,2014,NA,1,NA,"mammal_precise"
22284,2020,NA,1,NA,"mammal_precise"
22292,2015,NA,1,NA,"mammal_precise"
24228,2011,NA,1,NA,"mammal_precise"
26059,2010,NA,1,NA,"mammal_precise"
26069,2018,NA,1,NA,"mammal_precise"
28108,2023,NA,1,NA,"mammal_precise"
28112,2022,NA,1,NA,"mammal_precise"
28256,2024,NA,1,NA,"mammal_precise"
29127,2018,NA,1,NA,"mammal_precise"
29388,2023,NA,1,NA,"mammal_precise"
29545,2015,NA,1,NA,"mammal_precise"
29756,2017,NA,1,NA,"mammal_precise"
29756,2026,NA,1,NA,"mammal_precise"
34926,2019,NA,1,NA,"mammal_precise"
35076,2022,NA,1,NA,"mammal_precise"
44005,2021,NA,1,NA,"mammal_precise"
44457,2025,NA,1,NA,"mammal_precise"
44706,2023,NA,1,NA,"mammal_precise"
44925,2025,NA,1,NA,"mammal_precise"
44934,2025,NA,1,NA,"mammal_precise"
45375,2013,NA,1,NA,"mammal_precise"
45467,2017,NA,1,NA,"mammal_precise"
47147,2026,NA,1,NA,"mammal_precise"
47527,2015,NA,1,NA,"mammal_precise"
47580,2016,NA,1,NA,"mammal_precise"
47580,2017,NA,1,NA,"mammal_precise"
47697,2025,NA,1,NA,"mammal_precise"
48561,2023,NA,1,NA,"mammal_precise"
48974,2011,NA,1,NA,"mammal_precise"
49809,2016,NA,1,NA,"mammal_precise"
50471,2020,NA,1,NA,"mammal_precise"
50479,2018,NA,1,NA,"mammal_precise"
50523,2025,NA,1,NA,"mammal_precise"
51003,2020,NA,1,NA,"mammal_precise"
51415,2021,NA,1,NA,"mammal_precise"
51739,2023,NA,1,NA,"mammal_precise"
52219,2023,NA,1,NA,"mammal_precise"
53049,2018,NA,1,NA,"mammal_precise"
53055,2020,NA,1,NA,"mammal_precise"
53055,2023,NA,1,NA,"mammal_precise"
53062,2025,NA,1,NA,"mammal_precise"
402,2026,NA,1,NA,"mammal_all"
581,2017,NA,1,NA,"mammal_all"
604,2018,NA,1,NA,"mammal_all"
628,2022,NA,1,NA,"mammal_all"
1015,2021,NA,1,NA,"mammal_all"
1134,2019,NA,1,NA,"mammal_all"
1295,2011,NA,1,NA,"mammal_all"
1295,2013,NA,1,NA,"mammal_all"
1465,2017,NA,1,NA,"mammal_all"
1750,2022,NA,1,NA,"mammal_all"
1750,2023,NA,1,NA,"mammal_all"
1853,2023,NA,1,NA,"mammal_all"
2057,2021,NA,1,NA,"mammal_all"
2078,2015,NA,1,NA,"mammal_all"
3979,2017,NA,1,NA,"mammal_all"
3979,2022,NA,1,NA,"mammal_all"
5031,2012,NA,1,NA,"mammal_all"
5106,2019,NA,1,NA,"mammal_all"
5192,2023,NA,1,NA,"mammal_all"
5373,2011,NA,1,NA,"mammal_all"
5385,2020,NA,1,NA,"mammal_all"
5385,2024,NA,1,NA,"mammal_all"
9709,2020,NA,1,NA,"mammal_all"
13181,2012,NA,1,NA,"mammal_all"
13181,2013,NA,1,NA,"mammal_all"
13181,2014,NA,1,NA,"mammal_all"
13181,2016,NA,1,NA,"mammal_all"
13181,2026,NA,1,NA,"mammal_all"
13326,2020,NA,1,NA,"mammal_all"
13861,2015,NA,1,NA,"mammal_all"
13862,2014,NA,1,NA,"mammal_all"
14337,2023,NA,1,NA,"mammal_all"
14720,2016,NA,1,NA,"mammal_all"
15119,2021,NA,1,NA,"mammal_all"
15150,2025,NA,1,NA,"mammal_all"
15523,2013,NA,1,NA,"mammal_all"
15882,2019,NA,1,NA,"mammal_all"
15980,2017,NA,1,NA,"mammal_all"
15980,2019,NA,1,NA,"mammal_all"
15980,2022,NA,1,NA,"mammal_all"
16031,2021,NA,1,NA,"mammal_all"
16095,2017,NA,1,NA,"mammal_all"
16111,2010,NA,1,NA,"mammal_all"
16205,2013,NA,1,NA,"mammal_all"
16651,2020,NA,1,NA,"mammal_all"
16667,2017,NA,1,NA,"mammal_all"
16817,2012,NA,1,NA,"mammal_all"
16817,2018,NA,1,NA,"mammal_all"
16924,2010,NA,1,NA,"mammal_all"
17188,2024,NA,1,NA,"mammal_all"
17188,2026,NA,1,NA,"mammal_all"
17200,2018,NA,1,NA,"mammal_all"
17200,2019,NA,1,NA,"mammal_all"
17222,2026,NA,1,NA,"mammal_all"
17271,2026,NA,1,NA,"mammal_all"
17380,2018,NA,1,NA,"mammal_all"
17410,2015,NA,1,NA,"mammal_all"
17418,2023,NA,1,NA,"mammal_all"
17455,2021,NA,1,NA,"mammal_all"
17470,2011,NA,1,NA,"mammal_all"
17495,2021,NA,1,NA,"mammal_all"
17495,2026,NA,1,NA,"mammal_all"
17506,2023,NA,1,NA,"mammal_all"
17835,2023,NA,1,NA,"mammal_all"
17846,2020,NA,1,NA,"mammal_all"
17846,2024,NA,1,NA,"mammal_all"
17926,2021,NA,1,NA,"mammal_all"
17946,2023,NA,1,NA,"mammal_all"
18065,2010,NA,1,NA,"mammal_all"
18081,2011,NA,1,NA,"mammal_all"
18113,2023,NA,1,NA,"mammal_all"
18609,2017,NA,1,NA,"mammal_all"
18778,2012,NA,1,NA,"mammal_all"
20680,2014,NA,1,NA,"mammal_all"
22284,2020,NA,1,NA,"mammal_all"
22292,2015,NA,1,NA,"mammal_all"
23019,2016,NA,1,NA,"mammal_all"
23019,2021,NA,1,NA,"mammal_all"
24228,2011,NA,1,NA,"mammal_all"
25203,2019,NA,1,NA,"mammal_all"
26058,2021,NA,1,NA,"mammal_all"
26059,2010,NA,1,NA,"mammal_all"
26069,2018,NA,1,NA,"mammal_all"
28108,2023,NA,1,NA,"mammal_all"
28112,2022,NA,1,NA,"mammal_all"
28256,2024,NA,1,NA,"mammal_all"
